StudyHours,Attendance,PreviousMarks,SleepHours,FinalMarks
1.5,86.8,46.3,6.4,58.8
8.0,56.0,86.6,6.6,74.6
3.8,73.4,71.9,7.1,70.0
8.5,78.2,66.7,4.9,82.3
5.7,63.8,35.7,7.3,54.4
3.6,63.6,61.9,8.1,66.2
5.5,79.2,54.6,8.0,73.6
6.4,61.4,52.6,7.6,65.4
3.7,85.6,66.8,7.7,72.7
6.8,82.7,61.7,7.8,83.9
4.3,78.2,65.3,7.4,71.5
3.2,77.4,66.5,9.7,59.9
6.4,81.2,46.8,7.6,72.8
5.2,59.2,64.8,6.1,71.2
4.2,59.8,62.8,7.5,61.9
5.3,71.1,52.7,6.3,62.7
2.0,53.1,68.5,6.1,56.4
7.0,88.4,69.7,6.5,81.3
4.1,67.5,50.0,7.4,57.2
4.9,89.6,72.8,7.5,84.0
4.9,71.8,59.0,7.1,64.3
8.2,76.0,65.4,7.8,90.3
5.2,78.7,53.5,9.8,59.8
0.5,60.9,52.4,6.3,43.4
9.2,74.4,67.3,7.6,77.1
1.8,73.9,51.5,9.4,61.7
7.8,48.4,58.0,6.4,71.8
4.5,59.2,41.1,7.1,53.7
4.9,58.6,74.3,7.2,73.6
1.8,58.1,75.7,8.7,64.2
5.0,86.9,53.8,8.5,71.0
5.1,95.7,95.9,8.3,93.6
6.9,61.5,85.5,8.1,70.3
4.1,45.0,47.3,7.9,61.5
2.0,89.7,66.1,4.8,63.2
0.6,70.5,70.8,6.9,52.5
3.1,75.9,75.0,6.3,65.7
2.8,81.3,64.1,7.7,66.1
2.5,66.9,53.1,6.3,51.0
4.1,74.8,94.5,7.3,82.1
6.6,76.9,61.7,6.1,69.6
1.6,45.0,60.9,8.8,59.9
5.6,76.4,61.3,10.0,73.0
1.4,58.2,63.1,7.3,52.7
2.2,59.0,43.7,9.2,53.8
5.2,87.7,64.9,5.9,82.7
4.7,58.8,73.1,5.9,60.1
2.2,95.0,78.9,7.7,74.3
3.0,61.8,57.7,7.1,55.7
4.6,70.0,69.1,5.8,65.9
3.1,77.7,76.3,7.1,77.7
3.0,72.8,40.0,7.7,52.5
4.6,46.4,37.9,7.3,46.0
5.0,51.5,74.6,5.4,61.5
4.2,59.8,65.7,8.3,62.3
6.4,58.3,77.5,8.7,60.2
4.3,75.1,53.0,7.5,62.7
7.6,68.3,66.3,6.9,77.1
3.9,63.2,58.8,7.5,61.5
7.0,95.6,69.3,6.3,89.8
2.7,45.0,58.9,4.6,45.1
5.7,90.2,65.3,6.6,82.6
6.0,67.9,31.8,4.9,58.5
6.5,65.8,70.1,9.7,70.9
3.2,65.0,68.7,8.1,61.8
6.1,64.4,66.1,7.3,77.2
2.7,65.6,57.3,6.4,61.9
7.1,60.6,76.4,8.4,78.0
2.8,64.9,93.2,4.7,77.1
5.8,70.8,74.8,5.4,86.3
6.6,71.6,66.9,7.4,76.4
8.9,73.9,53.1,8.2,82.2
4.6,57.0,57.3,7.1,68.4
4.1,84.5,39.6,6.4,56.4
4.7,76.2,40.2,5.3,50.3
4.3,89.3,60.0,5.0,66.7
4.8,45.0,60.9,6.7,64.0
5.0,87.7,92.7,5.6,98.8
5.0,70.3,65.9,7.3,70.4
4.8,62.1,56.4,6.3,59.0
8.3,67.2,66.6,3.1,61.2
4.6,47.9,83.7,6.5,62.2
8.6,54.9,53.3,7.7,74.4
4.1,58.1,75.8,7.6,62.8
4.4,68.7,75.7,7.9,75.9
2.5,83.1,59.6,7.8,70.1
2.2,73.2,60.4,8.2,61.5
3.3,81.4,57.2,5.2,53.9
9.0,56.0,74.1,3.7,69.8
3.9,69.3,68.2,7.5,69.3
5.7,73.9,81.5,6.4,79.0
2.1,50.2,69.6,8.0,60.2
5.7,69.8,62.2,6.2,65.2
6.0,58.7,67.9,4.6,68.6
7.3,74.1,72.1,8.8,83.3
3.1,50.5,37.4,7.0,51.3
3.1,70.6,54.1,6.2,53.0
2.6,51.7,51.2,8.4,47.6
6.1,80.9,98.0,5.7,89.5
10.0,70.2,56.4,6.1,80.2
8.7,68.0,54.5,5.6,75.5
6.6,64.8,75.6,8.0,79.8
4.0,57.7,41.4,6.9,57.9
5.9,54.4,67.7,7.7,71.7
6.3,82.4,81.2,6.7,74.4
5.7,73.5,71.4,5.2,65.5
6.8,71.9,80.8,6.8,81.1
5.5,65.9,79.1,6.3,72.8
3.9,72.0,60.4,8.6,61.0
8.1,64.3,62.2,6.8,78.6
6.5,69.9,42.7,6.9,69.8
9.9,85.7,57.2,5.8,72.2
4.3,92.2,86.8,6.5,83.1
2.4,56.0,44.8,6.0,49.4
2.9,89.1,68.5,8.3,71.8
2.5,78.0,64.3,7.5,68.1
10.0,74.6,72.4,5.4,73.4
3.4,61.9,55.7,8.5,67.6
5.9,58.7,56.4,6.2,67.1
8.5,52.3,68.0,8.8,67.6
5.6,72.6,59.2,7.8,81.4
1.9,60.0,62.3,6.0,56.8
6.0,67.8,91.9,6.8,89.5
4.6,68.6,98.0,8.4,86.5
4.8,81.2,92.7,7.8,88.8
7.6,77.9,77.3,8.1,90.5
5.5,69.5,74.7,8.5,70.4
5.2,66.1,70.5,8.6,72.1
6.7,53.8,65.7,7.6,80.9
5.5,71.9,60.4,9.0,67.9
5.5,77.9,69.2,6.3,76.0
5.6,60.1,81.1,6.0,80.2
5.4,59.9,42.2,9.0,56.4
1.6,91.3,56.7,4.1,57.8
6.4,56.6,57.5,7.1,62.8
6.0,77.6,45.8,6.7,76.8
3.2,49.3,48.9,6.9,54.4
2.2,73.7,61.4,8.9,61.5
6.3,76.6,81.8,7.5,85.0
5.6,87.4,74.6,7.8,81.1
9.4,65.1,86.6,6.3,76.6
6.9,62.1,66.9,5.9,67.8
0.5,60.3,36.7,4.9,38.4
3.1,76.9,76.8,6.9,73.4
6.6,85.4,47.6,6.5,70.6
4.5,46.0,68.1,6.1,56.2
6.3,90.9,60.8,6.1,79.5
5.6,84.2,86.0,6.1,87.3
6.5,81.6,70.9,8.1,76.6
10.0,75.3,84.8,5.4,91.0
4.0,62.6,68.0,6.6,69.2
5.1,64.3,72.8,9.8,77.4
5.4,71.4,71.5,7.7,69.1
5.8,49.4,61.1,7.7,61.5
2.3,58.8,88.6,7.3,76.3
7.9,68.3,90.3,6.5,84.6
1.8,79.8,78.3,8.9,77.3
5.9,73.3,55.6,7.2,66.6
7.4,68.2,54.9,7.3,68.3
7.8,45.0,76.6,4.3,58.1
7.2,51.9,48.2,6.1,62.1
5.2,75.6,64.3,5.3,73.8
3.9,50.2,57.6,9.0,61.8
4.2,65.0,59.8,9.7,63.1
5.7,83.3,71.5,6.6,77.2
6.6,69.4,63.9,6.8,76.8
0.6,70.8,63.8,8.2,58.8
9.9,45.0,80.0,6.1,81.6
2.4,75.0,49.4,6.2,68.6
6.9,72.2,62.1,7.4,74.6
5.0,99.7,70.5,7.3,88.3
6.7,86.7,81.6,5.3,90.8
3.0,71.1,47.8,6.9,60.9
8.6,75.8,69.8,7.0,79.5
2.6,86.4,79.5,7.8,80.3
4.6,85.8,60.5,7.2,72.1
1.8,56.9,65.2,9.1,51.9
3.3,45.0,50.1,5.3,57.4
10.0,64.0,80.1,7.5,81.8
1.2,92.2,30.0,4.9,52.5
6.9,91.6,98.0,7.5,97.7
5.5,75.1,76.4,6.9,73.6
4.7,49.1,60.8,5.7,52.8
7.1,87.1,67.7,4.6,65.0
4.8,60.3,79.1,7.7,67.9
3.7,54.2,66.6,7.4,54.9
6.3,70.8,71.6,7.1,83.7
5.3,65.1,66.9,7.7,70.9
3.6,61.7,65.6,5.2,70.0
3.0,58.9,46.3,8.2,53.0
6.0,64.7,83.7,5.8,88.0
6.0,71.0,47.2,7.4,64.6
4.6,70.2,63.1,8.3,81.0
4.6,52.3,56.6,10.0,50.9
4.3,93.8,89.6,7.7,92.1
3.6,66.7,59.3,5.7,57.8
2.9,67.7,46.6,7.3,49.1
0.7,80.7,70.0,7.5,70.6
5.6,87.3,46.9,6.0,67.5
6.4,72.2,73.4,5.6,75.3
2.6,65.5,43.8,6.0,59.7
2.9,79.8,81.4,6.6,82.0
5.9,98.2,67.1,7.1,80.6
6.6,68.5,67.0,8.0,69.6
5.7,45.0,45.0,5.5,40.2
5.1,100.0,70.8,8.1,83.2
4.3,80.8,63.5,7.3,74.0
4.4,80.4,55.0,6.0,69.7
4.7,68.3,51.5,8.4,65.9
8.1,79.8,64.6,7.3,79.2
3.9,54.3,45.3,6.2,52.7
4.9,76.5,65.8,7.6,73.3
4.1,54.3,35.4,5.4,50.9
5.0,88.1,88.0,8.9,85.2
4.2,61.9,59.9,6.5,64.5
6.0,70.4,67.4,8.4,78.4
6.6,45.0,42.7,5.0,49.5
5.8,45.7,47.4,7.9,54.0
5.2,58.2,30.0,5.1,48.3
5.3,76.9,64.8,5.7,77.1
2.9,69.3,62.6,6.4,58.9
1.9,90.2,62.4,4.9,70.6
7.2,61.5,61.9,5.9,75.0
9.9,65.7,75.2,5.5,78.8
8.5,86.3,69.5,6.5,79.1
9.6,62.9,71.9,6.5,76.2
2.9,54.3,67.8,8.6,57.6
7.3,74.1,49.3,7.6,75.2
8.1,51.2,53.6,6.1,62.4
6.4,79.7,84.9,9.6,77.4
5.9,72.8,78.9,8.9,80.4
4.4,84.1,73.1,5.9,69.4
2.0,90.3,35.5,6.7,55.4
7.0,80.5,69.6,5.9,76.7
8.6,67.7,69.2,7.1,82.0
5.6,85.6,74.9,5.2,78.7
6.1,62.2,55.2,8.4,65.6
5.6,91.1,69.6,10.0,78.2
5.3,75.1,38.6,8.6,64.5
4.5,55.0,62.9,5.9,58.6
6.0,91.4,73.8,5.3,81.4
5.1,65.4,82.9,7.0,72.5
6.1,70.0,74.7,5.7,71.7
9.0,67.2,75.8,5.9,76.7
1.4,55.1,79.0,5.0,63.9
3.6,99.5,56.7,7.2,82.1
8.3,99.3,95.1,7.8,100.0
3.4,65.1,76.7,7.0,69.6
7.0,77.3,58.2,6.8,81.7
3.1,65.1,47.9,4.6,49.6
6.4,87.9,63.2,5.5,84.8
4.9,79.7,83.3,5.8,76.6
8.7,95.1,81.3,5.8,82.7
5.8,49.1,67.1,6.7,63.3
3.3,72.6,41.1,5.5,38.5
8.6,91.2,64.6,5.9,74.5
5.8,59.1,72.0,7.9,78.5
3.0,67.3,63.5,5.9,61.4
3.3,81.8,70.5,8.9,69.9
0.5,61.0,64.7,8.1,57.7
6.1,70.2,60.8,4.8,61.7
5.9,56.7,76.9,5.1,70.7
7.6,50.5,64.5,5.7,58.0
2.8,84.2,68.0,7.1,73.8
4.4,73.7,75.4,5.9,73.4
5.6,45.0,48.9,8.1,44.0
9.2,75.2,49.9,6.4,68.2
3.5,86.1,62.3,6.0,66.8
8.3,69.3,50.7,6.9,68.7
6.9,50.6,60.6,6.6,64.5
4.0,78.5,98.0,6.4,90.6
7.1,53.0,66.7,5.8,74.2
8.1,67.1,81.2,6.6,86.2
3.7,60.9,72.3,8.3,65.8
5.8,57.6,58.9,9.6,56.2
4.8,87.0,65.4,7.6,70.2
7.3,68.7,71.4,8.2,91.1
5.6,75.2,73.7,6.5,78.2
7.8,71.4,60.6,5.3,72.7
0.7,71.5,84.8,6.2,72.8
3.9,58.0,64.7,8.1,67.1
4.1,65.1,61.4,5.8,72.0
8.3,83.9,60.2,7.8,76.5
3.1,70.6,71.1,7.4,62.9
5.8,67.1,82.8,7.2,77.4
7.1,65.6,73.8,4.9,68.2
4.1,62.4,94.1,7.7,79.6
6.5,76.7,70.3,8.2,79.8
9.1,77.5,61.4,6.2,71.9
0.6,71.0,81.6,8.1,61.4
5.4,73.8,63.6,7.9,69.7
6.8,68.0,72.7,7.5,71.6
7.1,66.0,81.3,7.2,90.3
4.9,65.3,61.6,6.6,71.4
2.2,53.7,40.8,8.2,57.5
5.1,67.7,63.4,8.5,63.7
6.2,82.2,68.6,7.1,83.8
2.9,72.9,30.0,4.6,47.5
7.5,71.4,85.6,8.7,90.4
5.7,82.6,89.6,4.8,78.6
4.4,94.2,52.4,7.2,74.8
3.6,90.4,65.7,7.3,70.6
4.5,59.7,45.2,6.4,53.4
1.3,65.8,43.9,8.0,50.9
2.9,63.0,43.1,7.4,62.0
4.1,67.2,36.9,7.9,57.2
3.0,64.5,53.7,8.4,59.2
4.0,73.5,93.5,5.0,66.4
5.6,69.6,41.2,4.8,60.6
8.4,70.7,57.8,7.7,72.5
3.2,45.0,51.6,6.7,47.1
4.5,70.6,63.0,6.2,68.4
8.2,57.9,71.6,6.4,74.4
7.3,74.4,75.6,7.0,77.3
5.3,57.1,70.4,6.9,68.2
3.8,47.1,63.1,7.1,60.8
2.8,82.9,49.6,8.3,65.2
2.2,89.8,55.3,8.2,71.3
4.2,85.2,54.9,7.4,71.3
6.7,79.4,63.0,4.5,75.1
7.0,78.6,40.1,5.3,60.1
4.0,64.9,48.4,8.0,67.1
5.0,66.4,85.9,4.8,67.4
2.6,91.6,79.5,6.2,76.5
6.0,60.9,69.2,6.2,70.1
4.2,71.3,73.2,6.9,72.2
8.4,66.1,59.4,7.2,71.5
7.8,67.6,75.5,7.1,78.7
2.7,52.2,71.7,5.4,59.5
6.9,100.0,91.0,7.4,89.5
3.5,59.3,56.9,6.8,57.6
2.0,74.5,35.3,7.3,63.9
4.1,45.0,51.2,8.4,65.1
3.6,73.2,46.6,6.9,75.2
5.6,69.7,42.5,8.3,62.3
5.7,66.0,69.6,6.5,75.2
4.8,73.7,59.5,8.5,68.2
2.5,81.2,38.4,6.2,52.3
10.0,47.5,85.6,7.6,81.8
6.1,73.3,64.2,7.7,76.7
4.7,67.8,66.3,6.7,75.8
6.6,45.0,73.9,7.0,69.3
7.0,82.6,59.2,5.7,75.4
3.3,51.3,50.4,8.1,59.9
6.3,79.9,72.7,6.0,79.9
7.9,80.9,77.0,7.5,86.4
3.4,72.1,81.1,6.8,70.1
3.1,66.7,54.9,6.6,50.0
3.3,70.5,68.2,7.9,73.5
2.8,57.2,40.9,5.8,53.5
0.5,66.4,62.1,7.8,48.0
8.0,73.5,65.9,4.8,51.2
7.8,92.0,67.8,6.9,80.9
6.3,60.1,77.1,7.5,81.0
4.5,79.7,98.0,7.0,81.3
3.6,63.5,54.6,7.2,56.8
5.3,72.5,81.8,6.5,79.3
3.8,61.5,77.4,6.6,62.6
6.7,62.4,52.7,7.1,67.3
6.1,70.3,77.8,6.7,79.3
4.5,45.0,56.3,8.8,61.6
5.5,87.0,79.5,7.2,79.8
7.6,76.7,60.3,6.4,72.1
1.8,77.2,65.0,4.0,51.2
4.3,61.2,46.7,6.4,65.8
6.5,74.3,69.9,5.3,78.4
2.6,77.9,63.9,5.0,66.1
3.2,60.0,70.6,8.5,58.6
6.9,62.9,89.6,6.3,84.4
4.9,66.8,56.8,5.7,67.4
2.7,66.1,57.3,3.7,46.6
5.6,84.4,98.0,6.6,89.8
7.6,57.1,73.2,7.5,78.8
6.6,71.2,71.6,7.5,75.0
8.2,69.9,56.4,4.9,55.3
5.4,71.0,67.5,7.3,71.7
3.6,54.1,87.3,6.9,62.7
5.0,89.5,62.4,7.3,69.0
4.1,64.1,55.8,8.7,65.0
5.8,70.5,48.3,8.4,73.5
1.9,58.0,49.8,6.7,54.9
4.6,71.3,79.8,7.2,72.0
6.0,55.4,96.3,9.5,77.8
4.5,65.3,62.1,8.8,53.5
4.9,56.4,88.0,6.4,78.1
9.0,72.0,41.0,4.6,58.4
4.8,73.6,55.1,6.2,68.6
7.1,71.8,92.1,5.0,72.3
5.9,88.9,72.1,6.5,80.6
6.6,74.4,46.2,6.2,63.1
4.9,65.4,69.0,9.7,65.0
6.5,61.4,59.6,6.5,64.3
4.1,90.0,84.8,4.6,81.4
0.5,77.9,54.7,8.2,48.2
3.1,71.8,76.0,6.5,74.6
9.4,77.3,66.6,4.3,77.5
2.1,59.4,66.6,6.8,65.6
1.8,87.8,63.1,7.0,60.5
4.2,81.5,70.5,3.6,62.6
7.8,75.8,71.6,5.2,75.9
6.1,51.3,82.9,6.2,72.4
3.6,64.9,70.2,7.0,62.2
2.1,75.7,48.7,7.9,61.3
7.1,58.0,39.1,5.4,50.0
4.6,80.4,71.9,6.2,82.6
5.7,85.7,91.1,5.8,83.2
8.2,76.2,72.8,7.4,73.5
4.5,60.4,80.8,7.3,84.2
5.3,82.2,98.0,7.7,91.8
5.4,90.8,60.2,7.6,79.9
3.8,81.0,71.3,6.3,66.9
6.1,80.3,71.6,9.0,77.0
4.3,58.4,75.0,7.9,74.5
1.6,68.5,60.6,6.5,63.7
5.3,77.3,73.6,7.0,73.5
6.3,76.6,75.5,6.1,66.2
3.4,66.7,81.5,7.9,70.9
6.8,79.8,80.9,5.0,84.8
5.4,66.2,68.9,4.6,66.9
1.3,51.5,49.6,8.4,44.4
1.7,67.0,88.0,5.5,74.5
5.3,63.1,62.7,7.6,74.4
2.5,68.9,86.7,6.5,74.2
5.5,56.3,50.5,6.9,61.1
2.7,65.5,53.6,8.2,64.7
1.2,54.7,37.3,6.2,41.8
2.4,55.7,43.3,7.3,51.1
3.6,70.5,54.2,6.6,71.9
7.2,57.4,85.1,7.7,73.0
2.8,90.3,77.3,5.8,80.4
5.8,77.2,69.1,7.4,69.1
4.8,86.4,80.7,6.9,73.6
5.0,78.0,72.7,8.5,74.0
5.1,59.0,73.5,6.8,71.8
6.7,67.6,59.5,6.2,60.5
2.7,90.5,91.2,7.9,80.1
4.6,74.1,69.0,6.0,67.0
4.6,58.0,51.3,6.1,62.2
6.0,66.4,87.3,7.5,83.5
6.1,79.1,66.1,5.2,76.4
5.3,62.8,78.3,7.8,73.6
3.6,100.0,81.1,5.2,81.0
8.4,68.9,75.8,4.7,74.5
9.2,89.3,55.9,5.4,69.8
5.2,67.3,77.9,7.0,64.9
3.9,61.7,64.8,8.9,57.1
4.6,68.5,77.2,8.0,76.3
4.4,82.9,73.6,6.2,69.9
7.5,100.0,52.6,4.9,62.7
6.4,77.7,72.2,6.5,77.2
0.5,71.8,69.9,6.7,54.4
5.9,100.0,67.6,6.5,87.3
6.5,76.1,72.2,9.5,69.0
6.4,59.9,72.1,5.6,67.6
6.9,81.0,60.6,5.1,71.1
4.3,53.3,54.4,6.6,72.2
3.9,54.4,71.5,8.3,77.1
8.6,45.0,41.2,7.0,54.1
5.2,45.0,73.0,7.4,71.6
2.7,68.7,49.8,7.3,53.6
6.3,57.1,58.9,7.9,65.2
4.4,52.7,65.6,6.9,78.3
6.9,85.1,48.3,7.1,81.6
5.0,75.5,70.6,8.6,79.9
4.4,52.8,55.6,6.0,57.6
5.3,67.3,83.6,7.0,82.8
4.8,57.7,31.3,8.6,48.6
3.0,73.2,36.9,5.5,48.4
0.5,62.3,62.2,8.2,60.1
4.8,57.8,74.8,7.0,73.6
5.4,62.7,75.0,7.5,81.5
5.4,81.1,75.6,8.8,80.4
6.3,84.9,52.1,6.2,68.5
5.5,76.2,69.4,7.3,85.0
7.4,74.7,81.1,5.3,77.8
3.7,71.5,92.1,6.2,72.2
1.7,63.8,53.2,7.0,60.2
5.9,86.2,51.4,8.2,67.9
7.2,58.8,77.8,6.9,79.4
6.0,56.6,47.4,5.6,60.4
1.9,77.1,44.5,7.7,60.1
5.4,75.4,54.5,6.2,61.9
1.0,69.8,35.6,7.1,45.5
4.5,67.9,75.2,8.0,75.0
1.7,76.3,69.7,8.0,69.7
4.6,64.8,49.7,6.8,63.4
2.5,86.2,86.5,7.8,86.5
9.5,84.0,70.8,7.6,86.1
5.4,74.1,80.7,6.5,87.1
5.9,86.5,52.7,5.1,69.2
6.3,72.8,33.5,6.0,59.7
3.3,68.3,94.3,8.9,87.7
8.0,82.1,65.1,5.6,70.5
6.6,93.0,83.5,5.6,91.7
5.6,64.8,57.0,8.9,69.8
5.2,76.5,71.2,7.7,62.0
2.4,72.2,60.6,7.5,62.3
4.5,92.8,91.3,6.8,87.5
3.2,71.3,58.2,5.5,64.3
7.2,61.8,74.4,5.9,71.6
6.2,71.4,77.3,6.1,76.1
4.5,60.6,61.9,5.0,57.2
4.4,66.3,60.7,6.9,68.9
2.6,64.2,78.1,5.6,63.1
2.0,60.0,59.7,6.4,58.1
4.3,64.6,73.9,5.8,68.5
0.8,75.0,52.3,6.5,55.9
5.8,100.0,67.8,5.6,79.3
2.6,65.0,38.4,8.2,49.1
8.8,62.1,63.2,6.0,82.2
6.1,77.6,77.2,7.4,69.8
4.8,79.5,60.8,5.2,66.6
5.4,88.8,90.6,8.2,86.8
7.9,55.1,39.4,6.2,57.7
8.5,92.2,60.5,9.4,78.1
8.3,52.5,69.4,5.0,64.9
2.8,60.5,48.5,6.2,51.4
2.4,78.8,56.8,7.3,70.7
4.3,60.2,57.3,8.5,63.2
2.4,74.6,57.0,7.9,64.9
3.0,59.2,60.4,7.7,67.5
0.5,74.1,55.4,6.2,52.8
3.3,56.7,51.4,7.4,55.9
3.0,45.0,31.4,7.6,29.1
7.9,62.6,57.5,6.1,70.7
6.7,45.0,67.1,7.0,69.5
9.5,49.9,98.0,6.0,81.8
3.7,64.8,64.3,7.4,57.8
2.7,66.7,76.3,6.4,75.1
3.2,73.1,57.0,8.0,68.1
7.0,72.1,92.7,6.8,90.3
4.4,77.3,54.2,6.9,67.5
5.5,69.2,68.8,9.0,76.7
3.3,66.5,78.0,8.2,75.7
4.9,66.1,87.1,4.9,70.3
6.7,66.6,79.9,6.5,80.1
0.5,68.4,47.8,6.8,39.9
6.4,82.0,83.1,8.8,78.2
5.0,85.1,91.2,8.5,82.5
3.6,60.8,52.6,5.6,63.2
3.7,73.6,61.1,4.6,61.6
1.4,64.9,36.3,9.6,48.8
3.2,85.4,66.6,7.7,73.4
6.7,85.9,69.0,7.1,71.5
4.9,66.4,50.6,5.5,73.2
5.6,80.6,87.7,6.6,79.1
2.3,73.3,66.2,7.4,65.0
3.5,55.4,36.4,9.5,50.5
1.2,72.8,45.0,8.4,49.7
2.1,85.7,63.6,5.2,60.3
0.5,54.1,80.6,6.4,60.5
4.5,67.1,83.0,8.5,65.2
5.9,71.4,59.2,6.2,69.2
5.3,56.9,30.0,5.7,49.8
5.5,66.9,71.7,5.7,69.5
3.9,73.3,74.2,7.3,77.2
3.6,79.3,34.3,7.6,64.5
4.0,58.4,44.4,6.0,63.7
5.2,61.4,52.1,5.4,56.9
4.9,66.7,69.8,6.3,62.0
5.1,91.8,69.8,7.3,83.9
5.1,87.6,46.0,9.1,62.2
6.8,83.4,92.3,7.0,88.9
1.0,74.4,83.0,5.5,64.4
7.8,70.0,69.6,4.0,64.3
4.2,75.0,37.7,7.5,54.6
6.7,85.4,84.2,6.6,87.9
8.4,78.7,54.4,7.9,71.0
6.4,55.3,70.4,7.4,60.7
4.0,64.0,47.6,5.4,57.7
3.4,68.2,68.8,8.4,76.8
5.9,61.6,57.7,6.4,65.0
8.1,48.8,76.1,6.6,71.3
1.2,69.3,63.7,8.9,58.0
2.9,82.4,71.6,7.6,71.3
5.0,46.4,77.7,6.2,69.6
3.6,62.6,72.1,6.9,63.0
0.5,67.5,77.6,6.5,55.0
4.8,51.5,40.5,8.7,54.5
3.8,74.1,55.9,6.1,57.6
4.8,61.4,38.7,6.9,54.0
1.8,75.2,50.8,8.0,52.8
3.7,50.7,53.7,8.3,59.3
2.9,78.5,79.7,6.6,69.7
7.4,58.6,85.0,7.8,89.8
9.9,77.6,58.9,5.5,63.2
0.5,74.3,36.8,6.5,48.1
5.5,75.5,67.8,8.6,68.5
6.6,59.2,54.8,7.9,68.5
9.0,58.5,82.8,8.4,84.9
4.4,54.1,91.7,6.0,77.7
7.7,76.7,49.2,7.5,72.8
7.5,57.6,50.2,7.6,64.8
2.5,45.0,58.7,9.5,43.8
2.3,82.5,67.8,7.2,74.6
1.3,100.0,65.2,8.4,69.1
3.6,77.0,76.6,7.3,64.7
6.6,74.9,74.0,8.1,80.8
3.5,59.8,67.2,8.5,72.1
2.9,70.0,61.4,8.5,67.3
4.8,63.8,94.1,7.3,84.1
6.9,59.0,61.8,7.7,64.4
5.7,87.1,85.3,7.0,87.6
0.5,68.4,52.1,8.1,42.2
5.0,69.4,87.6,6.2,76.9
8.2,45.0,86.3,7.0,70.6
2.6,87.7,48.9,5.5,66.8
5.6,59.5,70.1,5.6,73.5
6.1,78.8,80.9,9.1,80.1
9.2,72.7,47.3,5.0,60.6
3.0,70.3,71.2,8.5,80.8
1.7,59.6,67.9,7.3,66.2
3.8,71.0,72.1,5.6,73.0
8.8,53.5,78.7,7.2,85.4
4.3,50.6,44.9,7.7,64.5
3.0,68.7,75.6,8.6,63.8
9.0,70.3,89.4,7.3,87.6
5.8,64.7,57.2,7.0,63.9
0.5,70.6,62.5,7.6,50.8
0.7,47.2,47.7,5.2,37.0
6.0,68.1,94.3,7.4,85.1
8.2,55.5,63.8,8.9,60.3
2.6,64.3,49.6,7.7,52.8
6.1,89.2,97.5,8.2,95.6
5.0,58.9,56.5,8.1,64.2
4.4,56.8,41.3,6.9,65.9
7.9,72.9,44.2,9.5,62.2
5.6,77.9,72.4,6.8,79.5
4.6,72.9,30.0,6.7,66.9
9.2,63.6,54.9,5.3,60.8
5.4,79.8,62.8,5.3,66.4
5.8,67.7,55.9,7.4,58.0
8.4,75.4,81.0,7.1,88.3
6.3,87.2,72.0,6.7,93.6
2.5,78.9,78.3,5.3,70.6
5.4,63.0,67.2,9.0,72.0
2.9,66.1,47.9,6.5,54.4
4.6,53.9,57.8,6.3,44.3
4.8,87.7,95.8,7.0,85.3
5.9,96.6,90.4,8.2,91.7
4.9,62.1,44.9,6.4,57.4
5.1,68.8,63.6,5.6,62.9
0.5,78.8,45.7,8.5,58.5
